Țara,Speranța de viață la naștere (ani),Rata mortalității infantile (per 1000 nașteri),Accesul la serviciile sanitare de bază (% din populație),Populația urbană (% din populație),Rata brută de înscriere școlară (%),Rata șomajului (% din totalul forței de muncă),Accesul la electricitate (% din populație)
Afghanistan,62.879,44.8,55.95194129,26.616,..,14.1,85.3
Albania,76.833,8.4,99.29926613,63.799,97.32247162,10.137,100
Algeria,77.129,18.7,85.8262894,74.772,105.9325485,12.346,100
American Samoa,..,..,54.14529859,87.196,..,..,..
Andorra,..,2.6,100,87.811,97.48903656,..,100
Angola,61.929,45.7,52.17727576,68.081,..,14.602,48.5
Antigua and Barbuda,79.236,8.1,97.40371851,24.346,..,..,100
Argentina,76.064,8.4,..,92.347,115.4348679,6.805,100
Armenia,73.372,9.2,93.97971416,63.573,96.86456299,13.379,100
Aruba,74.992,..,98.84000172,44.052,136.2166901,..,99.9
Australia,83.2,3.2,100,86.488,133.2772675,3.728,100
Austria,81.09268293,2.6,99.97236712,59.256,101.4580002,4.992,100
Azerbaijan,73.488,16.1,..,57.17,90.97299194,5.65,100
"Bahamas, The",74.358,11.2,..,83.492,..,9.272,100
Bahrain,79.246,5.6,100,89.743,103.4909668,1.326,100
Bangladesh,73.698,24.1,59.29519147,39.711,71.82198326,4.593,99.4
Barbados,77.706,10.1,98.09246231,31.324,106.3924103,8.365,100
Belarus,73.11146341,1.9,99.55866392,80.326,94.5358963,3.574,100
Belgium,81.69756098,3.1,99.48621705,98.153,142.9180756,5.57,100
Belize,70.962,9.4,88.25107793,46.396,86.99240875,8.763,98.6
Benin,59.954,53.6,19.49350171,49.534,45.36516953,1.685,56.5
Bermuda,81.571,..,99.9416526,100,75.84501237,..,100
Bhutan,72.229,20.1,77.94007424,43.686,89.98954939,5.947,100
Bolivia,64.928,19.6,68.6125631,70.83,91.46736908,3.552,99.9
Bosnia and Herzegovina,75.293,5.2,..,49.841,85.29151917,12.657,100
Botswana,65.913,31.2,80.55081682,72.224,..,23.615,75.9
Brazil,73.425,12.5,90.88349937,87.555,106.031189,9.231,100
British Virgin Islands,76.373,11.6,..,49.331,82.61032104,..,100
Brunei Darussalam,74.551,8.5,99.48082541,78.854,88.37986161,5.191,100
Bulgaria,74.36097561,5,86.05586288,76.363,96.67207336,4.268,100
Burkina Faso,59.766,50.1,24.75649355,31.877,33.72491074,5.389,19.5
Burundi,61.977,36.4,45.69068464,14.417,..,0.915,10.3
Cabo Verde,74.722,10.6,83.04530327,67.545,..,12.246,97.1
Cambodia,69.896,20.3,76.71941834,25.114,58.74240327,0.231,92.3
Cameroon,60.958,47,43.11916534,58.733,45.14366913,3.653,71
Canada,81.29560976,4.3,98.5883582,81.752,108.6132202,5.279,100
Cayman Islands,..,..,83.26628834,100,101.5119934,..,100
Central African Republic,54.477,73.5,13.84629384,43.12,..,5.956,15.7
Chad,52.997,64.1,12.92206644,24.063,..,1.096,11.7
Channel Islands,81.583,..,..,31.077,..,6.147,100
Chile,79.519,5.4,99.9999983,87.912,106.0683289,8.249,100
China,78.587,4.8,95.89236141,63.56,..,4.98,100
Colombia,73.659,10.6,94.73097844,82.05,101.5737762,10.547,100
Comoros,63.68,38.2,..,29.864,..,3.816,89.9
"Congo, Dem. Rep.",59.743,60.1,16.17447255,46.837,..,4.522,21.5
"Congo, Rep.",63.053,31.2,..,68.736,..,20.108,50.6
Costa Rica,77.32,6.9,98.38362155,82.042,133.1591644,11.325,100
Cote d'Ivoire,58.916,52.4,36.96208394,52.661,55.06694031,2.306,70.4
Croatia,77.57560976,3.9,..,58.219,105.5777969,6.96,100
Cuba,78.155,6.2,92.14940965,77.401,103.6705399,1.82,100
Curacao,..,..,..,89.025,..,..,100
Cyprus,81.889,2.7,99.39677595,66.911,104.005722,6.806,100
Czechia,79.02926829,2.1,99.1363582,74.377,102.9355621,2.224,100
Denmark,81.30487805,3.1,99.59722924,88.367,130.3269958,4.434,100
Djibouti,62.859,44.1,66.90521345,78.38,..,26.307,65
Dominica,72.981,30.8,..,71.7,86.99568176,..,100
Dominican Republic,74.17,26.8,88.68179188,83.848,76.52832031,5.504,98.1
Ecuador,77.894,10.5,92.27250109,64.57,94.76364136,3.761,100
